gene	gene length
DRC1	2223
DTNB	1884
DTYMK	639
DUSP11	1134
DUSP19	654
DUSP2	945
DUSP28	531
DYNC1I2	1917
DYNC2LI1	1059
DYSF	6360
DYTN	1737
E2F6	846
ECEL1	2328
EDAR	1347
EEF1B2	678
EFEMP1	1482
EFHD1	720
EFR3B	2454
EGR4	1770
EHBP1	3696
EHD3	1608
EIF2AK2	1656
EIF2AK3	3351
EIF2B4	1632
EIF4E2	738
EIF5B	3663
ELMOD3	1176
EMILIN1	3051
EML4	2946
EML6	5877
EMX1	873
EN1	1179
EPAS1	2613
EPB41L5	2202
EPC2	2424
EPCAM	945
EPHA4	2961
EPT1	1194
ERBB4	3927
ERCC3	2349
ERICH2	471
ERLEC1	1452
ERMN	894
ESPNL	3018
ETAA1	2781
EVA1A	459
EVX2	1431
EXOC6B	2436
FABP1	384
FAHD2A	945
FAHD2B	945
FAM110C	966
FAM117B	1770
AMER3	2586
FAM124B	1368
FAM126B	1593
FAM132B	1065
FAM134A	1632
FAM136A	417
FAM150B	459
FAM161A	2151
FAM168B	588
FAM171B	2481
FAM178B	2040
FAM179A	3060
FAM228A	621
FAM228B	974
FAM49A	972
FAM84A	879
FAM98A	1557
FANCL	1143
FAP	2283
FARP2	3165
FARSB	1770
FASTKD1	2544
FASTKD2	2133
FBLN7	1320
FBXO11	2784
FBXO36	567
FBXO41	2628
FBXO48	468
FER1L5	6282
FEV	717
FEZ2	1143
FHL2	840
FIGLA	660
FIGN	2280
FKBP1B	327
FKBP7	669
FMNL2	3279
FN1	7434
FNDC4	705
FOSL2	981
FOXD4L1	1227
FOXI3	1262
FOXN2	1296
FRZB	978
FSHR	2088
FSIP2	20991
FZD5	1758
FZD7	1725
G6PC2	1068
GAD1	1785
GAL3ST2	1197
GALM	1029
GALNT13	1671
GALNT14	1674
GALNT3	1902
GALNT5	2823
GAREML	2625
GBX2	1047
GCA	654
GCC2	5055
GCFC2	2346
GCG	543
GCKR	1878
GDF7	1353
GEMIN6	504
GEN1	2727
GFPT1	2100
GGCX	2277
GIGYF2	3963
GKN1	600
GKN2	555
GLB1L	1965
GLI2	4761
GLS	2010
GMCL1	1548
GMPPA	1263
GNLY	438
GORASP2	1359
GPAT2	2388
GPATCH11	858
GPBAR1	993
GPC1	1677
GPD2	2184
GPN1	1167
GPR1	1068
GPR113	3240
GPR148	1044
GPR155	2613
GPR17	1104
GPR35	1023
GPR39	1362
GPR45	1119
GPR55	960
GPR75	1623
GPR75-ASB3	1671
GRB14	1623
GREB1	5850
GRHL1	1857
GTDC1	1377
GTF2A1L	1437
GTF3C2	2736
GTF3C3	2661
GULP1	915
GYPC	387
HAAO	861
HADHA	2292
HADHB	1425
HAT1	1260
HDAC4	3255
HDLBP	3807
HEATR5B	6216
MROH2A	5025
HECW2	4719
HES6	675
HIBCH	1161
HJURP	2247
HK2	2754
HNMT	879
HNRNPA3	1137
HNRNPLL	1629
HOXD1	987
HOXD10	1023
HOXD11	1017
HOXD12	813
HOXD13	1032
HOXD3	1299
HOXD4	768
HOXD8	873
HOXD9	1059
HPCAL1	582
HS1BP3	1179
HS6ST1	1236
HSPD1	1722
HSPE1	309
HSPE1-MOB4	786
HTR2B	1446
HTRA2	1377
IAH1	747
ICA1L	1449
ICOS	600
ID2	405
IDH1	1245
IFIH1	3078
IFT172	5250
IGFBP2	978
IGFBP5	819
IGKC	323
IGKJ1	38
IGKJ2	38
IGKJ3	38
IGKJ4	37
IGKJ5	38
IGKV1-12	351
IGKV1-16	351
IGKV1-17	351
IGKV1-27	351
IGKV1-33	351
IGKV1-37	351
IGKV1-39	351
IGKV1-5	351
IGKV1-6	351
IGKV1-8	345
IGKV1-9	351
IGKV1D-12	351
IGKV1D-13	351
IGKV1D-16	351
IGKV1D-17	351
IGKV1D-33	351
IGKV1D-37	353
IGKV1D-39	353
IGKV1D-42	351
IGKV1D-43	351
IGKV1D-8	351
IGKV2-24	360
IGKV2-28	360
IGKV2-30	360
IGKV2-40	314
IGKV2D-24	360
IGKV2D-26	360
IGKV2D-28	360
IGKV2D-29	360
IGKV2D-30	360
IGKV2D-40	332
IGKV3-11	345
IGKV3-15	345
IGKV3-20	348
IGKV3-7	348
IGKV3D-11	345
IGKV3D-15	345
IGKV3D-20	348
IGKV3D-7	357
IGKV4-1	363
IGKV5-2	345
IGKV6-21	342
IGKV6D-21	342
IGKV6D-41	345
IHH	1236
IKZF2	1581
IL18R1	1626
IL18RAP	1800
IL1A	816
IL1B	810
IL1F10	459
IL1R1	1710
IL1R2	1197
IL1RL1	1671
IL1RL2	1728
IL1RN	543
IL36A	477
IL36B	495
IL36G	510
IL36RN	468
IL37	657
ILKAP	1179
IMMT	2277
IMP4	876
ING5	723
INHA	1101
INHBB	1224
INO80B	1071
INO80D	3084
INPP1	1200
INPP4A	2934
INPP5D	3485
INSIG2	678
IQCA1	2493
IRS1	3729
ITGA4	3099
ITGA6	3276
ITGAV	3147
ITGB1BP1	603
ITGB6	2367
ITM2C	804
ITPRIPL1	1692
ITSN2	5094
IWS1	2460
KANSL1L	2964
KANSL3	2637
KCMF1	1146
KCNE4	666
KCNF1	1485
KCNG3	1311
KCNH7	3591
KCNIP3	771
KCNJ13	1083
KCNJ3	1506
KCNK12	1293
KCNK3	1185
KCNS3	1476
KCTD18	1281
KDM3A	3966
KHK	897
KIAA1211L	2889
KIAA1715	1287
KIAA1841	2157
KIDINS220	5316
KIF1A	5376
KIF3C	2382
KIF5C	2874
KLF11	1539
KLF7	909
KLHL23	1677
KLHL29	2628
KLHL30	1737
KLHL41	1821
KRCC1	780
KRTCAP3	723
KYNU	1398
LANCL1	1200
LAPTM4A	702
LBH	318
LBX2	585
LCLAT1	1245
LCT	5784
LGALSL	519
LHCGR	2100
LIMS1	1164
LIMS2	1098
LIPT1	1122
LMAN2L	1080
LOC100130451	435
LOC100144595	309
LOC200726	546
LOC728819	948
LONRF2	2265
LOXL3	2262
LPIN1	2928
LRP1B	13800
LRP2	13968
LRPPRC	4185
LRRFIP1	2427
LRRTM1	1569
LRRTM4	1773
LTBP1	5166
LY75	5169
LY75-CD302	5622
LYG1	585
LYG2	639
LYPD1	426
LYPD6	516
LYPD6B	624
M1AP	1593
MAL	462
MALL	462
MAP2	5484
MAP3K19	3987
MAP3K2	1860
MAP4K3	2685
MAP4K4	3822
MAPRE3	846
MARCH4	1233
MARCH7	2115
MARCO	1563
MARS2	1782
MAT2A	1188
MATN3	1461
MBD5	4485
MBOAT2	1563
MCEE	531
MCFD2	441
MCM6	2466
MDH1	1059
MDH1B	1557
MEIS1	1173
MEMO1	894
MERTK	3000
METAP1D	1008
METTL21A	657
METTL5	630
METTL8	1224
MFF	1029
MFSD2B	1494
MFSD6	2376
MFSD9	1425
MGAT4A	1608
MGAT5	2226
MITD1	750
NIFK	882
MLPH	1803
MMADHC	891
MOB1A	651
MOB4	678
MOGAT1	1008
MOGS	2514
MORN2	240
MPHOSPH10	2046
MPP4	1914
MPV17	531
MREG	645
MRPL19	879
MRPL30	486
MRPL33	198
MRPL35	567
MRPL44	999
MRPL53	339
MRPS5	1293
MRPS9	1191
MSGN1	582
MSH2	2805
MSH6	4083
MSTN	1128
MTA3	1548
MTERF4	1146
MTHFD2	1053
MTIF2	2184
MTX2	792
MXD1	666
MYCN	1395
MYEOV2	759
MYL1	585
MYO1B	3411
MYO3B	4026
MYO7B	6351
MYT1L	3555
MZT2A	477
MZT2B	477
NAB1	1464
NABP1	615
NAGK	1173
NAT8	684
NAT8B	684
NBAS	7116
NBEAL1	8085
NCAPH	2226
NCK2	1143
NCKAP1	3405
NCKAP5	5730
NCL	2133
NCOA1	4326
NDUFA10	1068
NDUFAF7	1326
NDUFB3	297
NDUFS1	2226
NEB	25683
NEU2	1143
NEU4	1494
NEUROD1	1071
NFE2L2	1818
NFU1	765
NGEF	2133
NHEJ1	900
NIF3L1	1134
NLRC4	3075
NMI	924
NMS	462
NMUR1	1281
NOL10	2067
NOP58	1590
NOSTRIN	1692
NOTO	756
NPAS2	2475
NPHP1	2202
NPPC	381
NR4A2	1797
NRBP1	1608
NRP2	2796
NRXN1	4644
NT5C1B	1884
NT5C1B-RDH14	1953
NT5DC4	1287
NTSR2	1233
NUP35	981
NXPH2	795
NYAP2	1962
OBSL1	5691
ODC1	1386
OLA1	1191
OR6B2	939
OR6B3	996
ORC2	1734
ORC4	1311
ORMDL1	462
OSBPL6	2880
OSGEPL1	1245
OSR1	801
OST4	114
OTOF	5994
OTOS	270
OTX1	1065
OXER1	1272
PAIP2B	372
PAPOLG	2211
PARD3B	3432
PASK	3993
PAX3	1518
PAX8	1353
PCBP1	1071
CFAP221	2523
PCGF1	780
PCYOX1	1518
PDCD1	867
PDCL3	720
PDE11A	2802
PDE1A	1650
PDE6D	453
PDIA6	1323
PDK1	1311
PECR	912
PELI1	1257
PER2	3768
PEX13	1212
PFN4	390
PGAP1	2769
PHOSPHO2	726
PHOSPHO2-KLHL23	1677
PID1	747
PIGF	660
PIKFYVE	6297
PKDCC	1482
PKP4	3579
PLA2R1	4392
PLB1	4377
PLCD4	2289
PLCL1	3288
PLEK	1053
PLEKHA3	903
PLEKHB2	711
PLEKHH2	4482
PLEKHM3	2286
PMS1	2799
PNKD	1158
PNO1	759
PNPT1	2352
POLE4	354
POLR1A	5163
POLR1B	3408
POLR2D	429
POMC	804
POTEE	3228
POTEF	3228
POTEI	3228
POTEJ	3117
POU3F3	1503
PPIG	2265
PPIL3	498
PPM1B	1440
PPM1G	1641
PPP1CB	984
PPP1R1C	351
PPP1R21	2343
PPP1R7	1083
PPP3R1	513
PQLC3	609
PRADC1	567
PREB	1254
PREPL	2184
PRKAG3	1470
PRKCE	2214
PRKD3	2673
PRKRA	942
PRLH	264
PROC	1386
PROKR1	1182
PROM2	2505
PRPF40A	2793
PRR21	1170
PRSS56	1812
PSD4	3171
PSMD1	2862
PSMD14	933
PSME4	5532
PTCD3	2070
PTH2R	1653
PTMA	336
PTPN18	1383
PTPN4	2781
PTPRN	2940
PTRHD1	423
PUM2	3195
PUS10	1590
PXDN	4440
QPCT	1086
R3HDM1	3300
RAB10	603
RAB11FIP5	1962
RAB17	639
RAB1A	618
RAB3GAP1	2967
RAB6C	765
RABL2A	687
RAD51AP2	3480
RALB	621
RAMP1	447
RANBP2	9675
RAPGEF4	3036
RAPH1	3753
RASGRP3	2073
RBKS	969
RBM43	1074
RBM44	3159
RBM45	1425
RBMS1	1221
RDH14	1011
REEP1	627
REG1A	501
REG1B	501
REG3A	528
REG3G	528
REL	1860
RESP18	687
RETSAT	1833
REV1	3756
RFTN2	1506
RFX8	1422
RGPD3	5277
RGPD4	5277
RGPD8	5298
RHBDD1	948
RHOB	591
RHOQ	618
RIF1	7419
RMDN2	1722
RMND5A	1176
RNASEH1	861
RND3	735
RNF103	2058
RNF103-CHMP3	756
RNF144A	879
RNF149	1203
RNF181	462
RNF25	1380
RNPEPL1	2178
ROCK2	4167
RPE	687
RPIA	936
RPL31	387
RPL37A	279
RPRM	330
RPS27A	471
RPS7	585
RQCD1	996
RRM2	1350
RSAD2	1086
RTKN	1692
RTN4	3579
RUFY4	1716
SAG	1218
SAP130	3252
SATB2	2202
SCG2	1854
SCLY	1362
SCN1A	6030
SCN2A	6018
SCN3A	6003
SCN7A	5049
SCN9A	5934
SCRN3	1275
SCTR	1323
SDC1	933
SDPR	1278
SEMA4C	2502
SEMA4F	2313
SEPT10	1365
SEPT2	1086
SERPINE2	1230
SERTAD2	945
SESTD1	2091
SF3B1	3915
SF3B14	378
SFT2D3	648
SFTPB	1182
SFXN5	1023
SGOL2	3798
SGPP2	1200
SH2D6	528
SH3BP4	2892
SH3RF3	2649
SH3YL1	1029
SIX2	876
SIX3	999
SLC11A1	1653
SLC16A14	1533
SLC19A3	1491
SLC1A4	1599
SLC20A1	2040
SLC23A3	1857
SLC25A12	2037
SLC30A3	1167
SLC30A6	1506
SLC35F5	1572
SLC35F6	1116
SLC38A11	1221
SLC39A10	2496
SLC3A1	2058
SLC40A1	1716
SLC4A10	3357
SLC4A1AP	2391
SLC4A3	3780
SLC4A5	3414
SLC5A6	1908
SLC5A7	1743
SLC8A1	2922
SLC9A2	2439
SLC9A4	2397
SMARCAL1	2865
SMC6	3276
SMEK2	2550
SMPD4	2601
SMYD1	1473
SMYD5	1257
SNED1	4242
SNRNP200	6411
SNRNP27	468
SNRPG	231
SNTG2	1620
SNX17	1413
SOCS5	1611
SOS1	4002
SOWAHC	1578
SOX11	1326
SP100	2658
SP110	2142
SP140	2604
SP140L	1743
SP3	2346
SP5	1197
SP9	1455
SPAG16	1896
SPAST	1851
SPATA3	579
SPATS2L	1677
SPC25	675
SPDYA	942
SPEG	9804
SPHKAP	5103
SPOPL	1179
SPP2	636
SPR	786
SPRED2	1257
SPTBN1	7095
SRBD1	2988
SRD5A2	764
SRSF7	717
SSB	1227
SSFA2	3780
ST3GAL5	1257
ST6GAL2	1590
STAM2	1578
STAMBP	1275
STARD7	1113
STAT1	2253
STAT4	2247
STEAP3	1497
STK11IP	3300
STK16	918
STK17B	1119
STK25	1281
STK36	3948
STK39	1638
STON1	2208
STON1-GTF2A1L	3549
STRADB	1257
STRN	2343
SUCLG1	1041
SULT1C2	924
SULT1C3	915
SULT1C4	909
SULT6B1	798
SUMO1	306
SUPT7L	1245
TACR1	1224
TAF1B	1767
TANC1	5586
TANK	1278
TBC1D8	3423
TBR1	2049
TCF23	645
TCF7L1	1767
TEKT4	1308
TEX261	591
TEX37	543
TFCP2L1	1440
TFPI	915
TGFA	483
TGFBRAP1	2583
TGOLN2	1443
THADA	5862
THAP4	1734
THNSL2	1455
THSD7B	4733
THUMPD2	1512
TIA1	1161
TIGD1	1776
TLK1	2301
TLX2	855
TM4SF20	690
TMBIM1	936
TMEFF2	1125
TMEM127	717
TMEM131	5652
TMEM150A	816
TMEM163	870
TMEM169	894
TMEM17	597
TMEM177	936
TMEM178A	894
TMEM18	423
TMEM182	690
TMEM185B	1053
TMEM194B	1254
TMEM198	1083
TMEM214	2070
TMEM237	1227
TMEM247	659
TMEM37	573
TMEM87B	1668
TMSB10	135
TNFAIP6	834
TNP1	168
TNS1	5208
TP53I3	999
TPO	2802
TPRKB	528
TRABD2A	1518
TRAF3IP1	2076
TRAK2	2745
TRAPPC12	2208
TRIB2	1032
TRIM43	1341
TRIM43B	1341
TRIM54	1203
TRIP12	5979
TRMT61B	1434
TRPM8	3315
TSGA10	2097
TSN	687
TSPYL6	1233
TSSC1	1164
TTC21B	3951
TTC27	2532
TTC30A	1998
TTC30B	1998
TTC31	1560
TTC32	456
TTC7A	2577
TTL	1134
TTLL4	3600
TTN	107976
TUBA3D	1353
TUBA3E	1353
TUBA4A	1347
TWIST2	483
TXNDC9	681
TYW5	948
UBE2E3	624
UBE2F	558
UBR3	5667
UBXN2A	780
UBXN4	1527
UCN	375
UGGT1	4668
UGP2	1527
UGT1A1	1602
UGT1A10	1593
UGT1A3	1605
UGT1A4	1605
UGT1A5	1605
UGT1A6	1599
UGT1A7	1593
UGT1A8	1593
UGT1A9	1593
UNC50	780
UNC80	9777
UPP2	1125
USP34	10641
USP37	2940
USP39	1698
USP40	3744
UXS1	1278
VAMP5	351
VAMP8	303
VAX2	873
VIL1	2484
VIT	2082
VPS54	2934
VRK2	1527
VSNL1	576
VWA3B	3885
VWC2L	669
WBP1	810
WDFY1	1233
WDPCP	2241
WDR12	1272
WDR33	4011
WDR35	3546
WDR43	2034
WDR54	1005
DAW1	1248
WDR75	2493
WDR92	1074
WDSUB1	1431
WIPF1	1512
WNT10A	1254
WNT6	1098
WTH3DI	765
XDH	4002
XIRP2	10650
XPO1	3216
XRCC5	2199
YIPF4	735
YPEL5	366
YWHAQ	738
ZAK	2403
ZAP70	1860
ZC3H15	1281
ZC3H6	3570
ZC3H8	876
ZDBF2	7065
ZEB2	3645
ZFAND2B	774
ZFP36L2	1485
ZNF142	5064
ZNF2	1281
ZNF385B	1416
ZNF512	1704
ZNF513	1626
ZNF514	1203
ZNF638	5937
ZNF804A	3630
ZRANB3	3240
ZSWIM2	1902
AANAT	759
AARSD1	1239
AATF	1683
AATK	4125
ABCA10	4632
ABCA5	4929
ABCA6	4854
ABCA8	4746
ABCA9	4875
ABCC3	4584
ABHD15	1407
ABI3	1101
ABR	2580
ACACA	7152
ACADVL	2037
ACAP1	2223
ACBD4	1026
ACE	3921
ACLY	3306
ACOX1	1983
ACSF2	1848
ACTG1	1128
ADAM11	2310
ADAP2	1146
ADORA2B	999
ADPRM	1029
AFMID	927
AIPL1	1155
AKAP1	2712
AKAP10	1989
ALDH3A1	1362
ALDH3A2	1527
ALDOC	1095
ALKBH5	1185
ALOX12	1992
ALOX12B	2106
ALOX15	1989
ALOX15B	2031
ALOXE3	2532
ALYREF	795
AMZ2	1083
ANAPC11	591
ANKFN1	2292
ANKFY1	3636
ANKRD13B	1881
ANKRD40	1107
AOC2	2271
AOC3	2292
AP2B1	2856
APOH	1038
APPBP2	1758
ARHGAP23	4476
ARHGAP27	1647
ARHGAP44	2457
ARHGDIA	615
ARHGEF15	2526
ARL16	594
ARL17B	534
ARL4D	606
ARL5C	540
ARMC7	597
ARRB2	1293
ARSG	1578
ASB16	1362
ASGR1	876
ASGR2	936
ASIC2	1692
ASPA	942
ASPSCR1	1944
ATAD5	5535
ATP1B2	873
ATP2A3	3159
ATP5G1	411
ATP5H	486
ATP6V0A1	2517
ATPAF2	870
ATXN7L3	1065
AURKB	1035
AXIN2	2532
CEP131	3243
B3GNTL1	1086
B4GALNT2	1701
B9D1	774
BAIAP2	1659
BCAS3	2787
BCL6B	1440
BECN1	1353
BHLHA9	708
BIRC5	498
BLMH	1368
BPTF	8763
BRCA1	5655
BRIP1	3750
BTBD17	1437
BZRAP1	5574
C17orf100	356
C17orf102	504
NATD1	341
C17orf104	2859
C17orf105	495
C17orf107	573
C17orf112	345
C17orf47	1713
C17orf49	579
C17orf50	525
C17orf51	666
C17orf53	1944
C17orf58	294
C17orf59	1074
C17orf62	564
C17orf64	711
HEATR9	1713
C17orf67	273
C17orf70	2646
PRR29	711
C17orf74	1506
C17orf75	1191
C17orf77	732
C17orf78	828
C17orf80	1830
C17orf82	756
C17orf85	1863
C17orf89	225
C17orf96	1140
C17orf97	1272
C17orf98	465
C17orf99	798
C1QBP	849
C1QL1	777
C1QTNF1	846
CA10	987
CA4	939
CACNA1G	7134
CACNB1	1797
CACNG1	669
CACNG4	984
CACNG5	828
CALCOCO2	1413
CAMKK1	1563
CAMTA2	3726
CANT1	1206
CARD14	3015
CASC3	2112
CASKIN2	3609
CBX1	558
CBX2	1599
CBX4	1683
CBX8	1170
CCDC103	729
CCDC137	870
CCDC144A	4284
CCDC144NL	666
CCDC40	3429
CCDC42	951
CCDC43	675
CCDC47	1452
CCDC57	2748
CCL1	291
CCL11	294
CCL13	297
CCL14	330
CCL15	342
CCL15-CCL14	342
CCL16	363
CCL18	270
CCL2	300
CCL23	414
CCL3	279
CCL4	279
CCL5	276
CCL7	300
CCL8	300
CCR10	1089
CCR7	1137
CCT6B	1593
CD300A	900
CD300C	675
CD300E	618
CD300LB	606
CD300LD	585
CD300LF	873
CD300LG	999
CD68	1065
CD7	723
CD79B	693
CDC27	2493
CDC42EP4	1071
CDC6	1683
CDK12	4473
CDK3	918
CDK5R1	924
CDK5RAP3	1521
CDR2L	1398
CDRT1	2259
CDRT15	567
CDRT15L2	846
CDRT4	459
CENPV	819
CEP112	2868
CEP95	2466
CHAD	1080
CHD3	6180
CHMP6	606
CHRNB1	1506
CHRNE	1482
CISD3	384
CLDN7	636
CLEC10A	951
CLTC	5028
CNP	1266
CNTD1	993
CNTNAP1	4155
CNTROB	2778
COA3	321
COASY	1782
COG1	2943
COIL	1731
COL1A1	4395
COPRS	555
COPS3	1272
COPZ2	629
CORO6	1419
COX10	1332
COX11	831
CPD	4143
CPSF4L	540
CRHR1	1335
CRK	915
CRLF3	1329
CRYBA1	648
CSF3	624
CSH1	654
CSH2	654
CSHL1	669
CSNK1D	1248
CTC1	3654
CTDNEP1	735
CTNS	1203
CUEDC1	1161
CWC25	1278
CXCL16	822
CYB561	756
CYB5D1	687
CYB5D2	795
CYGB	573
CYTH1	1197
DBF4B	1848
DCAF7	1029
DCAKD	696
DCXR	735
DDX42	2817
DDX5	1845
DDX52	1800
DERL2	720
DGKE	1704
DHRS11	783
DHRS13	1134
DHRS7B	978
DHRS7C	939
DHX33	2124
DHX40	2340
DHX58	2037
DHX8	3663
DLG4	2304
DLX3	864
DLX4	723
DNAH17	13389
DNAH2	13284
DNAH9	13461
DNAI2	1818
DNAJC7	1485
DOC2B	923
DPH1	1332
DRG2	1095
DUS1L	1422
DUSP14	597
DUSP3	558
DVL2	2211
DYNLL2	270
EFCAB13	2922
EFCAB3	1473
EFCAB5	4512
EFNB3	1023
EFTUD2	2919
EIF1	342
EIF4A1	1221
EIF4A3	1236
EIF5A	555
ELAC2	2481
ELP5	951
EMC6	333
EME1	1752
ENDOV	849
ENGASE	2232
ENO3	1305
ENPP7	1377
ENTHD2	1578
EPN2	1926
EPN3	1899
EPX	2148
ERAL1	1314
ERBB2	3768
ERN1	2934
ETV4	1455
EVI2A	780
EVI2B	1347
EVPL	6102
EVPLL	906
EXOC7	2208
EZH1	2244
FADS6	1053
FAM101B	436
FAM104A	624
FAM106A	510
FAM117A	1362
FAM134C	1401
FAM171A2	2481
FAM187A	1242
FAM195B	294
FAM20A	1626
LRRC75A	1035
FAM222B	1689
FAM57A	774
FAM64A	747
FAM83G	2472
FASN	7536
FBF1	3402
FBXL20	1311
FBXO39	1329
FBXO47	1359
FBXW10	3159
FDXR	1605
FGF11	678
FKBP10	1749
FLCN	1740
FLII	3810
FLJ45513	393
FLOT2	1287
FMNL1	3303
FN3K	930
FN3KRP	930
FNDC8	975
FOXJ1	1266
FOXK2	1983
FOXN1	1947
FSCN2	1551
FTSJ3	2544
FXR2	2022
FZD2	1698
G6PC	1074
G6PC3	1041
GAA	2859
GABARAP	354
GALK1	1179
GALR2	1164
GAS2L2	2643
GAS7	1431
GAST	306
GCGR	1434
GDPD1	945
GEMIN4	3177
GFAP	1317
GGA3	2172
GGNBP2	2094
GGT6	1482
GH1	654
GH2	771
GHDC	1593
GID4	903
GIP	462
GIT1	2313
GJC1	1191
GJD3	885
GLOD4	897
GLP2R	1662
GLTPD2	876
GNA13	1134
GNGT2	210
GOSR1	753
GOSR2	642
GP1BA	1959
GPATCH8	4509
GPR142	1389
GPR179	7104
GPRC5C	1461
GPS1	1584
GPS2	984
GRAP	654
GRAPL	357
GRB2	654
GRB7	1668
GRIN2C	3702
GRN	1782
GSDMA	1338
GSDMB	1251
GSG2	2397
GUCY2D	3312
H3F3B	411
HAP1	1860
HCRT	396
HDAC5	3372
HEATR6	3546
HELZ	5829
HES7	693
HEXDC	1758
HEXIM1	1080
HEXIM2	861
HGS	2334
HIC1	2202
HID1	2367
HIGD1B	300
HLF	888
HMGN2P42	0
HN1	546
HNF1B	1674
HOXB-AS3	0
HOXB1	906
HOXB13	855
HOXB2	1071
HOXB3	1296
HOXB4	756
HOXB5	810
HOXB6	675
HOXB7	654
HOXB8	732
HOXB9	753
HS3ST3A1	1221
HS3ST3B1	1173
HSD17B1	987
HSF5	1791
HSPB9	480
ICAM2	828
ICT1	621
IFI35	867
IFT20	477
IGF2BP1	1734
IGFBP4	777
IKZF3	1530
INCA1	711
INPP5K	1347
INTS2	3615
ITGA2B	3120
ITGA3	3201
ITGAE	3540
ITGB3	2367
ITGB4	5469
JMJD6	1245
JUP	2238
KANSL1	3318
KAT2A	2514
KAT7	1836
KCNAB3	1215
KCNH4	3054
KCNH6	2985
KCNJ12	1302
KCNJ16	1362
KCNJ18	1302
KCNJ2	1284
KCTD11	699
KCTD2	792
KDM6B	5049
KIAA0100	6708
KIAA0195	4071
CLUH	3930
KIAA0753	2904
KIF18B	2559
KIF19	2997
KIF1C	3312
KIF2B	2022
KLHL10	1827
KLHL11	2127
KPNA2	1590
KPNB1	2631
KRBA2	1479
KRT10	1755
KRT12	1485
KRT13	1377
KRT14	1419
KRT15	1371
KRT16	1422
KRT17	1299
KRT17P1	0
KRT19	1203
KRT20	1275
KRT222	888
KRT23	1269
KRT24	1578
KRT25	1353
KRT26	1407
KRT27	1380
KRT28	1395
KRT31	1251
KRT32	1347
KRT33A	1215
KRT33B	1215
KRT34	1311
KRT35	1368
KRT36	1404
KRT37	1350
KRT38	1371
KRT39	1476
KRT40	1296
KRT9	1872
KRTAP1-1	534
KRTAP1-3	504
KRTAP1-4	366
KRTAP1-5	525
KRTAP16-1	1554
KRTAP17-1	318
KRTAP2-1	387
KRTAP2-2	372
KRTAP2-3	387
KRTAP2-4	387
KRTAP29-1	1026
KRTAP3-1	297
KRTAP3-2	297
KRTAP3-3	297
KRTAP4-1	384
KRTAP4-11	588
KRTAP4-12	606
KRTAP4-16P	708
KRTAP4-2	411
KRTAP4-3	588
KRTAP4-4	501
KRTAP4-5	546
KRTAP4-6	618
KRTAP4-7	468
KRTAP4-8	558
KRTAP4-9	633
KRTAP9-1	753
KRTAP9-2	525
KRTAP9-3	480
KRTAP9-4	465
KRTAP9-6	483
KRTAP9-7	510
KRTAP9-8	480
KRTAP9-9	510
KSR1	2289
LASP1	786
P3H4	1314
LGALS3BP	1758
LGALS9	1068
LGALS9B	1068
LGALS9C	1071
LHX1	1221
LIG3	3030
LIMD2	384
LLGL1	3195
LLGL2	3063
LOC100130370	345
LOC100506388	384
LOC100653515	1866
LOC728392	360
LPO	2139
LRRC37A	5103
LRRC37A2	5103
LRRC37A3	4905
LRRC37B	2844
LRRC3C	828
LRRC45	2013
LRRC46	966
LRRC48	1572
LRRC59	924
LSM12	588
NAA38	522
LUC7L3	1299
LYRM9	237
LYZL6	447
MAFG	489
MAP2K3	1044
MAP2K4	1200
MAP2K6	1005
MAP3K14	2843
MAP3K3	1974
MAPK7	2451
MAPT	2331
MARCH10	2427
MBTD1	1887
MED1	4746
MED11	354
MED13	6525
MED24	2970
MED31	396
MED9	441
MEOX1	765
METRNL	936
METTL16	1689
METTL23	573
METTL2A	1137
MFAP4	840
MFSD11	1350
MFSD6L	1761
MGAT5B	2406
MIEN1	348
MIF4GD	792
MILR1	269
MINK1	3999
MIR497HG	320
MIS12	618
MKS1	1680
MLLT6	3282
MLX	897
MMD	717
MMP28	1562
MNT	1749
MPDU1	744
MPO	2238
MPP2	1659
MPP3	1758
MPRIP	3117
MRC2	4440
MRM1	1062
MRPL10	816
MRPL12	597
MRPL27	447
MRPL38	1143
MRPL45	921
MRPS23	573
MRPS7	729
MSI2	987
MSL1	1056
MTMR4	3588
MTRNR2L1	75
MXRA7	615
MYADML2	924
MYBBP1A	3999
MYCBPAP	2955
MYH1	5820
MYH10	6024
MYH13	5817
MYH2	5826
MYH3	5823
MYH4	5820
MYH8	5814
MYL4	594
MYO15A	10593
MYO18A	6165
MYO19	2913
MYO1C	3192
MYO1D	3021
MYOCD	2961
NACA2	648
NAGLU	2232
NAGS	1605
NARF	1509
NARR	597
NAT9	624
NBR1	2901
NBR2	0
NCOR1	7323
NDEL1	1038
NEK8	2079
NEURL4	4689
NEUROD2	1149
NF1	8520
NFE2L1	2319
NGFR	1284
NKIRAS2	576
NLE1	1458
NLGN2	2508
NLK	1584
NLRP1	4422
NME1	534
NME1-NME2	804
NME2	459
NMT1	1491
NOG	699
NOL11	2160
NOS2	3462
NOTUM	1491
NPB	378
NPEPPS	2760
NPLOC4	1827
NPTX1	1299
NR1D1	1845
NSF	2235
NSRP1	1677
NT5C	606
NT5C3B	903
NT5M	687
NTN1	1815
NUFIP2	2088
NUP85	1971
NUP88	2226
NXN	1308
NXPH3	759
ODF4	774
OGFOD3	996
OMG	1323
